Frame,Mean_Absolute_Error_px,R2_Score
1,0.4371,0.9849
2,0.4848,0.9832
3,0.4013,0.9889
4,0.5713,0.9764
5,0.4695,0.9846
6,0.4002,0.9878
7,0.4089,0.9888
8,0.4020,0.9903
9,0.4591,0.9891
10,0.3842,0.9917
11,0.4124,0.9905
12,0.3740,0.9920
13,0.3458,0.9944
14,0.5040,0.9890
15,0.4055,0.9927
16,0.4002,0.9940
17,0.4839,0.9912
18,0.4759,0.9915
19,0.3526,0.9948
20,0.3627,0.9960
21,0.3838,0.9946
22,0.3776,0.9948
23,0.3761,0.9960
24,0.4047,0.9963
25,0.4531,0.9952
26,0.5844,0.9949
27,0.5139,0.9951
28,0.5043,0.9966
29,0.5221,0.9977
30,0.5065,0.9981
31,0.5663,0.9976
32,0.5603,0.9985
33,0.4048,0.9993
34,0.3476,0.9996
35,0.4090,0.9993
36,0.4279,0.9994
37,0.6415,0.9993
38,0.8587,0.9992
39,0.8674,0.9992
40,0.9606,0.9992
41,1.0314,0.9993
42,0.8925,0.9995
43,0.9342,0.9997
44,0.9256,0.9996
45,0.9244,0.9997
46,0.9679,0.9997
47,0.7755,0.9998
48,0.8631,0.9998
49,0.8485,0.9997
50,0.7837,0.9997
51,0.7722,0.9998
52,0.8556,0.9998
53,0.8846,0.9998
54,0.8947,0.9998
55,0.9530,0.9998
56,0.9394,0.9998
57,0.9015,0.9999
58,0.6382,0.9999
59,0.7863,0.9999
60,0.9513,0.9998
61,1.0108,0.9998
62,1.0813,0.9997
63,1.1487,0.9997
64,1.1267,0.9996
65,1.0701,0.9996
66,1.0759,0.9996
67,1.2641,0.9995
68,1.1136,0.9995
69,1.2547,0.9995
70,1.0077,0.9996
71,0.6996,0.9998
72,0.6727,0.9999
73,0.8345,0.9998
74,0.6528,0.9999
75,0.6701,0.9999
76,0.7622,0.9998
77,0.8185,0.9999
78,0.9803,0.9998
79,0.9429,0.9999
80,0.8711,0.9999
81,0.8688,0.9999
82,0.9848,0.9999
83,1.1397,0.9998
84,1.2736,0.9996
85,1.3381,0.9995
86,1.2357,0.9996
87,1.2144,0.9996
88,1.2413,0.9996
89,1.3642,0.9996
90,1.2928,0.9996
91,1.2204,0.9997
92,1.1976,0.9998
93,1.1246,0.9998
94,1.1569,0.9998
95,1.0388,0.9998
96,1.0118,0.9999
97,1.1174,0.9998
98,1.0644,0.9999
99,1.0471,0.9998
100,1.1044,0.9998
101,1.3330,0.9998
102,1.3347,0.9998
103,1.3005,0.9998
104,0.8088,0.9999
105,0.8269,0.9999
106,0.8687,0.9999
107,0.8852,0.9999
108,0.9462,0.9999
109,1.0162,0.9998
110,1.1401,0.9996
111,1.2849,0.9994
112,1.3265,0.9993
113,1.2241,0.9993
114,1.1801,0.9994
115,1.0334,0.9996
116,0.9317,0.9998
117,0.8768,0.9998
118,0.8212,0.9998
119,0.8311,0.9998
120,0.8899,0.9998
121,0.6495,0.9999
122,0.9517,0.9999
123,0.9196,0.9998
124,0.8022,0.9999
125,0.7826,0.9999
126,0.8145,0.9999
127,0.7732,0.9999
128,0.7911,0.9999
129,0.8732,0.9999
130,0.8480,0.9999
131,0.9194,0.9999
132,0.7578,0.9999
133,0.8313,0.9999
134,0.9620,0.9998
135,1.2551,0.9996
136,1.2986,0.9994
137,0.8115,0.9999
138,1.0076,0.9999
139,1.2122,0.9995
140,0.9625,0.9999
141,0.9716,0.9999
142,0.8939,0.9999
143,0.9723,0.9999
144,1.2973,0.9994
145,1.2279,0.9995
146,1.3596,0.9993
147,0.9664,0.9999
148,0.9620,0.9999
149,0.8644,0.9999
150,0.9267,0.9999
151,0.9167,0.9999
152,1.0822,0.9999
153,0.9184,0.9999
154,0.9498,0.9999
155,0.9704,0.9998
156,1.0110,0.9999
157,0.8164,0.9999
158,0.9276,0.9999
159,0.9844,0.9999
160,0.8719,0.9999
161,0.8351,0.9999
162,0.9156,0.9999
163,0.9267,0.9999
164,0.9473,0.9999
165,1.0755,0.9999
166,1.0585,0.9999
167,1.0766,0.9999
168,1.1194,0.9999
169,1.0955,0.9998
170,0.9518,0.9999
171,0.8564,0.9999
172,1.0000,0.9999
173,0.9556,0.9999
174,0.8936,0.9999
175,0.8988,0.9999
176,0.9425,0.9999
177,0.9448,0.9999
178,1.0177,0.9999
179,1.1067,0.9999
180,0.8886,0.9999
181,0.8860,0.9999
182,0.8713,0.9999
183,0.9549,0.9999
184,0.8549,0.9999
185,0.9603,0.9999
186,0.9898,0.9999
187,1.0098,0.9998
188,0.9428,0.9999
189,0.9700,0.9999
190,0.8649,0.9999
191,0.9201,0.9998
192,0.8557,0.9999
193,0.8900,0.9999
194,0.8732,0.9999
195,0.8770,0.9999
196,0.9750,0.9998
197,0.9679,0.9999
198,0.9791,0.9998
199,0.9358,0.9998
200,1.0501,0.9997
201,1.0469,0.9997
202,0.9917,0.9998
203,1.0113,0.9998
204,1.1196,0.9996
205,1.2094,0.9993
206,1.1706,0.9992
207,1.3773,0.9988
208,0.9305,0.9998
209,0.8679,0.9999
210,0.9088,0.9998
211,1.0383,0.9997
212,1.0949,0.9997
213,0.9711,0.9998
214,1.1451,0.9996
215,1.1582,0.9996
216,1.1468,0.9995
217,1.1206,0.9996
218,1.1107,0.9995
219,1.1191,0.9995
220,1.2533,0.9991
221,0.8150,0.9999
222,0.8528,0.9998
223,0.9870,0.9998
224,1.0008,0.9997
225,1.0959,0.9996
226,1.0461,0.9996
227,1.3119,0.9991
228,1.0269,0.9998
229,1.0276,0.9998
230,1.0705,0.9997
231,1.1033,0.9994
232,1.1752,0.9994
233,1.2894,0.9991
234,1.2137,0.9992
235,0.9372,0.9998
236,1.1118,0.9996
237,1.0934,0.9995
238,1.1512,0.9993
239,0.8751,0.9998
240,0.9377,0.9998
241,1.2173,0.9995
242,0.8824,0.9998
243,0.8630,0.9999
244,0.7804,0.9998
245,0.9993,0.9997
246,0.9411,0.9998
247,1.1615,0.9994
248,0.8218,0.9999
249,0.8017,0.9999
250,0.8655,0.9998
251,0.9710,0.9998
252,0.9751,0.9997
253,1.1362,0.9995
254,0.7793,0.9998
255,0.7165,0.9999
256,0.7906,0.9998
257,0.8137,0.9998
258,0.7473,0.9999
259,0.8043,0.9999
260,0.8174,0.9998
261,0.7920,0.9999
262,0.7072,0.9999
263,0.7431,0.9999
264,0.7156,0.9999
265,0.7263,0.9999
266,0.7100,0.9999
267,0.7766,0.9998
268,0.8964,0.9998
269,0.8046,0.9998
270,0.8679,0.9998
271,0.7973,0.9998
272,0.8574,0.9998
273,0.7554,0.9998
274,0.9153,0.9998
275,0.8902,0.9998
276,0.9003,0.9998
277,0.8962,0.9998
278,0.9336,0.9998
279,0.8356,0.9998
280,0.8968,0.9998
281,0.7252,0.9998
282,0.7634,0.9998
283,0.8482,0.9998
284,0.8699,0.9998
285,0.7078,0.9999
286,0.7118,0.9999
287,0.8789,0.9998
288,0.7188,0.9999
289,0.8186,0.9998
290,0.8525,0.9998
291,0.8465,0.9999
292,0.8240,0.9999
293,0.8674,0.9998
294,0.7717,0.9999
295,0.7246,0.9998
296,0.6934,0.9999
297,0.7038,0.9998
298,0.8649,0.9998
299,0.6858,0.9998
300,0.7305,0.9998
301,0.6879,0.9998
302,0.6314,0.9999
303,0.7163,0.9999
304,0.9054,0.9999
305,0.9082,0.9999
306,0.9453,0.9999
307,0.9734,0.9999
308,1.0143,0.9999
309,1.1589,0.9998
310,1.3694,0.9995
311,1.2409,0.9995
312,1.2399,0.9996
313,1.3421,0.9996
314,1.3384,0.9996
315,1.2580,0.9996
316,1.2960,0.9995
317,1.3708,0.9995
318,0.8956,0.9998
319,0.8051,0.9998
320,0.7234,0.9998
321,0.7110,0.9998
322,0.6677,0.9998
323,0.8152,0.9998
324,0.7648,0.9998
325,0.7408,0.9998
326,0.8235,0.9997
327,0.7546,0.9998
328,0.8619,0.9997
329,0.8628,0.9997
330,0.7968,0.9998
331,0.8461,0.9998
332,0.8576,0.9997
333,0.7509,0.9998
334,0.6431,0.9997
335,0.6567,0.9997
336,0.6796,0.9997
337,0.8099,0.9994
338,0.7735,0.9996
339,1.0297,0.9991
340,0.9557,0.9991
341,0.7970,0.9993
342,0.7809,0.9993
343,0.7511,0.9993
344,0.7412,0.9993
345,0.7455,0.9993
346,0.7601,0.9993
347,0.7280,0.9993
348,0.7028,0.9993
349,0.6754,0.9994
350,0.6563,0.9993
351,0.6025,0.9994
352,0.5364,0.9996
353,0.5504,0.9994
354,0.5196,0.9995
